FENOMENAL|Fenomenal, fongicide systémique|Fongicide systémique en culture de fraises, chicons et plantes ornementales.  Fenomenal est actif contre les maladies appartenant au groupe des Oomycètes.  Il contient 60% de fosetyl-alumine et 6% de fenamidone.  Il peut être employé aussi bien en arrosage qu'en traitement foliaire.  La dose est en fonction du type de culture. Matières actives : fenamidone + fosethyl.  Agréation : 9500/B.  Bien lire l'étiquette avant l'emploi.|Fongicides RenameClassement2 60|2|../img/import/phyto/Fenomenal.jpg|NON
EMINENT|Eminent, fongicide systémique|Fongicide systémique en culture de fraises, chicons et plantes ornementales.  Eminent est actif contre les maladies des arbres et arbustes ornementaux et est spécialement conseillé contre les maladies du buis (Volutella buxi et Cylindrocladium buxicola) C'est un produit à la fois curatif et préventif. Il contient 125g/L de tetraconazole. Lutte contre l'oïdium, Cylindrocladium, Volutella, rouilles. Agréation : 9566P/B.  Bien lire l'étiquette avant l'emploi. <br> <br><a target='frmPDF' href='/documents/Eminent.pdf'>Description détaillée (format pdf)</a>|Fongicides RenameClassement2 60|2||NON
LACBALSAM|Lac Balsam - résine synthétique|Emulsion de résines synthétiques, n'irritant pas les tissus des végétaux, le lac balsam est un véritable baume qui favorise la cicatrisation, permet aux tissus de respirer, laisse passer l'air mais protège totalement contre les intempéries. Élastique et souple, il épouse le grossissement du bois.<br><br>Ne pas appliquer par temps pluvieux ou froid (température inférieure à 5°C). <br> <br><a target='frmPDF' href='/documents/Lac_Balsam.pdf'>Description détaillée (format pdf)</a>|Pâtes cicatrisantes RenameClassement2 74|1|../img/import/phyto/compolacbalsam.jpg|NON
GOUDRONVEGETAL|Goudron végétal|Produit de qualité pour protéger les plaies d'élagage et de taille des arbres.|Pâtes cicatrisantes RenameClassement2 74|1|../img/import/phyto/goudron.jpg|NON
TREND1L|Trend 90 - mouillant|TREND® 90 diminue la tension superficielle de la bouillie phytosanitaire et améliore son adhésivité sur les plantes. L'adjonction de TREND® 90 aux bouillies phytosanitaires est indiquée pour améliorer l'adhésivité de la bouillie sur les plantes difficiles à mouiller à cause de la cuticule cireuse ou de la pilosité. L'adjonction de TREND® 90 aux bouillies phytosanitaires contenant des poudres mouillables, permet également d'éviter les dépôts visibles.<br><br> <br> <br><a target='frmPDF' href='/documents/Trend_90.pdf'>Description détaillée (format pdf)</a>|Divers RenameClassement2 89|2|../img/import/phyto/trend90.jpg|NON
PONDINABOX|Pond in a box|Pour les amateurs de jardins qui rêvent depuis longtemps d'une belle pièce d'eau mais qui n'ont jamais osé commencer...<br><br>Le Pond in a Box apporte la solution : un set complet pour l'aménagement d'un plan d'eau de 4 x 3 mètres.  Aménager un étanf n'a jamais été aussi simple grâce au mode d'emploi pas-à-pas simple et les matériaux de la plus grande qualité.  Le set comprend la bâche durable Firestone Pondgard EPDM, la latte imputrescible ecolat pour un bord joli, un filtre Skimmer Pond Technics pour l'enlèvement efficace des impuretés sur la surface de l'eau, un Filtre Cascade pour obtenir une eau cristalline et une pompe Messner très économique quant à la consommation.  <br><br><br><br>En bref : un système parfait et facile à l'entretien !<br><br><br><br>Consultez www.distripond.com ou www.etangplaisir.com pour la vidéo d'installation de ce produit.|Kit d'étang complet RenameClassement2 81|1|../img/import/distripond/pondinabox_1.jpg|NON
DRAI50|Drain rond en PE, avec komo kiwa attestation||Accessoires pour le drainage RenameClassement2 42|1|../img/import/distripond/Drainrond.jpg|NON
DRAI250|Pièce T pour drainage||Accessoires pour le drainage RenameClassement2 42|1|../img/import/distripond/Tdrain.jpg|NON
DRAI150|Manchon pour drainage||Accessoires pour le drainage RenameClassement2 42|1|../img/import/distripond/manchondrain.jpg|NON
DRAI450|Bouchon pour drainage||Accessoires pour le drainage RenameClassement2 42|1|../img/import/distripond/bouchondrain.jpg|NON
