SCHISTEROUGE6-15|Gravillons de schiste rouge|Gravillon de schiste rouge.|Gravillons (concassés) RenameClassement2 17|1|../img/import/MichelOprey/schisterouge.jpg|NON
YELLOWSUN11-16/20|Gravillons Yellow Sun extra|Gravillons (graviers concassés) de couleur jaune.|Gravillons (concassés) RenameClassement2 17|1|../img/import/MichelOprey/yello_sun_extra_11-16.jpg;../img/import/MichelOprey/yello_sun_extra_20-40.jpg|NON
ZEBRE8/1620KG|Gravillons Zèbre 8-16 mm|Gravillons (graviers concassés) de couleur grise, blanche et noire.|Gravillons (concassés) RenameClassement2 17|1|../img/import/MichelOprey/zebre_8-16.jpg|NON
GALETDEMER2/15CM|Galets de mer|Galets de mer (silex).  Ont le gros avantage d'être chimiquement neutre et peuvent donc être utilisés en aménagement de piscine biologique, par exemple.|Graviers (ronds) et galets RenameClassement2 7|1|../img/import/dclimpex/galet2_15cm.jpg;../img/import/dclimpex/galet10_12cm.jpg|NON
ANATOLIA25/50|Galets Anatolia green 25-50 mm|Galets ronds verts avec des lignes blanches .|Graviers (ronds) et galets RenameClassement2 7|1||NON
BEACHPEBBLESNOIR|Galets Beach pebbles (plat) noir 3-6 cm|Galets plats noir|Graviers (ronds) et galets RenameClassement2 7|1||NON
BEACHPEBBLESG20|Galets Beach pebbles (plat) gris 3-6 cm|Galets plats gris.|Graviers (ronds) et galets RenameClassement2 7|1|../img/import/MichelOprey/beach_pebbles_gris_3-6.jpg|NON
CARRARA10-30-20K|Graviers de Carrara|Graviers arrondis, petits galets blancs.|Graviers (ronds) et galets RenameClassement2 7|1|../img/import/MichelOprey/gravier_carrara_10-30.jpg|NON
CARRARA20/40CMKG|Galets de Carrara|Galets blancs.|Graviers (ronds) et galets RenameClassement2 7|1|../img/import/MichelOprey/carrara20_40.jpg;../img/import/MichelOprey/gallet_carrara_40-60.jpg|NON
GLACIERROYAL2040|Gravier glacier royal 20-40 mm|Gravier arrondi clair moucheté.|Graviers (ronds) et galets RenameClassement2 7|1|../img/import/MichelOprey/glacierroyal.jpg|NON
GLITTERBLACK10-30|Galets Glitter stone black|Galets noirs brillants.|Graviers (ronds) et galets RenameClassement2 7|1|../img/import/MichelOprey/glitter_stone_50-80.jpg|NON
GLITTERRED20KG|Graviers Glitter stone red 10-30 mm|Galets noirs brillants.|Graviers (ronds) et galets RenameClassement2 7|1||NON
GLITTERSTRIPES20KG|Galets Glitter stone stripes 50-80 mm|Galets striés.|Graviers (ronds) et galets RenameClassement2 7|1||NON
LIMB16/32/20K|Graviers Limbourgeois blancs|Graviers arrondis, petits galets dans les tons clairs.|Graviers (ronds) et galets RenameClassement2 7|1|../img/import/MichelOprey/limbourgeoisblanc16-32_1.jpg;../img/import/MichelOprey/limbourgeois_blanc_30-60.jpg;../img/import/MichelOprey/limbourgeois_blanc_4-8.jpg;../img/import/MichelOprey/limbourgeois_blanc_8-16.jpg|NON
MERGRISBLEU10/20K|Graviers de mer gris/bleu|Graviers arrondis, petits galets gris bleu.|Graviers (ronds) et galets RenameClassement2 7|1|../img/import/MichelOprey/gravier_de_mer_10-20.jpg;../img/import/MichelOprey/gravier_de_mer_20-40.jpg|NON
GRAVIERROULE10/20|Graviers roulés de mer|Graviers (petits galets) de silex roulés de mer.  Ont le gros avantage d'être chimiquement neutre et peuvent donc être utilisés en aménagement de piscine biologique, par exemple.  Ils n'influencent pas le pH de l'eau.|Graviers (ronds) et galets RenameClassement2 7|1|../img/import/dclimpex/gravier20_40.jpg|NON
MORANE10/25KG|Galets de Moräne|Galets dans les tons roses.|Graviers (ronds) et galets RenameClassement2 7|1|../img/import/MichelOprey/galetmoraine3-5cm.jpg|NON
TAUNUS16/32/20K|Graviers Taunus jaune|Graviers arrondis, petits galets jaunes.|Graviers (ronds) et galets RenameClassement2 7|1|../img/import/MichelOprey/taunus_jaune_16-32.jpg;../img/import/MichelOprey/taunus_jaune_14-8.jpg;../img/import/MichelOprey/taunus_jaune_17-12.jpg|NON
GRANITSROULESBEIGEKG|Granits roulés beiges|Pièces de granits roulés de teinte beige pour faire des décorations dans les jardins.  Les pièces font environ 30/60 cm.|Graviers (ronds) et galets RenameClassement2 7|1|../img/import/dclimpex/granit_beige.jpg|NON
GLACIERGRISAUKG|Galets de glacier gris||Graviers (ronds) et galets RenameClassement2 7|1||NON
