FELCO160S|Sécateurs - FELCO|Sécateurs FELCO à choisir selon l'utilisation.|Sécateurs et outils de taille RenameClassement2 16|1|../img/import/Felco/felco160.jpg;../img/import/Felco/FELCO2.jpg;../img/import/Felco/FELCO8.jpg;../img/import/Felco/FELCO9.jpg|NON
FELCOETUICUIR|Divers - FELCO|Etui porte-sécateur en cuir véritable avec passant et pince pour le port à la ceinture.|Sécateurs et outils de taille RenameClassement2 16|1|../img/import/Felco/FELCO910.jpg;../img/import/Felco/FELCO980.jpg|NON
ARS300L|Sécateurs à fruits - ARS|Sécateurs à fruits <br>Modèles SE : lame facilement interchangeable, sécateur d'un poids léger, ergonomique et parfaitement adapté pour la cueillette des fruits, de légumes et coupe de fleurs et jardinage.<br>Autres modèles : poignées légères non glissantes s'adaptant confortablement à la main; durcissement Marquench permettant d'obtenir une performance de coupe excellente et durable des lames.|Sécateurs et outils de taille RenameClassement2 16|1|../img/import/ars/ars300l.jpg;../img/import/ars/ars300ss.jpg;../img/import/ars/ars310.jpg;../img/import/ars/ars310dx.jpg;../img/import/ars/arsse45.jpg|NON
CISEAUXREISSER21CM|Ciseaux - REISSER|Ciseaux pour tous travaux domestiques. Forme ergonomique. Acier inoxydable.|Sécateurs et outils de taille RenameClassement2 16|1||NON
BAHCOAMORT|Cisailles à haies - BACHO|Cisaille à haie pour professionnels.   Lame crantée en acier trempé retenant les branches à couper.  Diamètre de coupe : 15 mm.|Sécateurs et outils de taille RenameClassement2 16|1|../img/import/Felco/bahcop51.jpg|NON
FELCOCISAILLECABLES|Cisaille à câbles- FELCO|Petite cisaille à une main, compacte, légère et très maniable.  Recommandée pour la coupe de fils à ressort trempé jusqu'à 2,5 mm et de câbles jusqu'à 7 mm.|Sécateurs et outils de taille RenameClassement2 16|1|../img/import/Felco/FELCOC7.jpg|NON
ARSK1000-1|Tailles buis - ARS|Ce taille buis est muni de lames remplaçables à placage de chrome dur à grande puissance de coupe.  Les lames et les poignées légèrement incurvées offrent l'angle optimal pour couper les buissons et les herbes.|Sécateurs et outils de taille RenameClassement2 16|1|../img/import/ars/arsk1000.jpg;../img/import/ars/arsk1000l.jpg;../img/import/ars/arsk900.jpg|NON
ARSLP33M|Ebrancheurs - ARS|Cet ébrancheur est muni de lame de coupe de précision pour une coupe parfaite.  La contre lame évidée est entièrement forgée pour diminuer le frottement et l'encrassement.  Un renfort de guidage est prévu pour éviter que la lame ne morde de biais lors de la coupe.  Cet ébrancheur présente aussi un dispositif de retenue de la vis de serrage.  Un amortisseur de choc remplaçable est présent pour éviter les chocs dans les bras.  Les  manches tubulaires sont en acier trempé à haute résistance, les poignées ergonomiques et confortables, réduisant au maximum la fatigue des mains.  Cet ébrancheur a été conçu pour supporter le travail au point d'appui, de façon à permettre un coupage uniforme et facile.|Sécateurs et outils de taille RenameClassement2 16|1|../img/import/ars/arslp33m.jpg;../img/import/ars/arslp33s.jpg;../img/import/ars/arslp40.jpg;../img/import/ars/ARSLPB-30L.jpg|OUI
ARSK6770A|Echenilloir|Associé à un manche télescopique ARS, cet échenilloir est la solution pour pouvoir tailler à une grande hauteur jusqu'à 50 mm.|Sécateurs et outils de taille RenameClassement2 16|1||NON
ARS316|Matériels pour art floral - ARS|Ces couteaux sont conçu pour l'art floral, la lame se replie comme un canif.  Il y a un modèle avec une lame plus arrondie.  <br>|Sécateurs et outils de taille RenameClassement2 16|1|../img/import/ars/ars316.jpg|NON
ARS9F10|Divers - ARS|Lime spéciale pour scies ARS et étui pour scies pliantes ou sécateurs.|Sécateurs et outils de taille RenameClassement2 16|1|../img/import/ars/ars9f10.jpg|NON
ELECTROCOUP|Sécateur ELECTROCOUP - INFACO|Sécateur électronnique complet avec batterie et chargeur de batteries.<br><br>Le modèle standard a un diamètre de coupe de 40 mm et pèse 830 grammes. <br><br>Les avantages de ce sécateurs sont multiples : coupe nette, étanchéité des outils, autonomie d'au moins 8 heures.<br><br>Possibilité de fixer les sécateurs à des perches fixes ou téléscopiques.<br><br>Voir la fiche technique en fichier joint ou sur www.infaco.com <br> <br><a target='frmPDF' href='/documents/INFACO.pdf'>Description détaillée (format pdf)</a>|Sécateurs et outils de taille RenameClassement2 16|1|../img/import/infaco/F3010.jpg|OUI
