SANGLES|Sangle en polyester|Tendeur à cliquets avec sangle en polyester en deux parties avec crochets. Largeur 5 cm, longueur 9 m.<br><br>Composition du système de gauche à droite: crochet + 35cm de sangle largeur 50mm + tendeur à cliquets en acier + 865cm de sangle + crochet. Ce système de sangle avec tendeur est utilisé pour l arrimage de charges importantes sur camions, remorques, etc. Il ne convient pas pour le levage de charges. La sangle doit être introduite dans la rainure de l'axe central du tendeur et tendue un maximum à la main. Ensuite l'utilisateur actionnera la poignée du tendeur en un mouvement de va et vient. Cette action provoquera l'enroulement de la sangle sur l'axe du tendeur et permettra ainsi de tendre celle-ci au maximum.|PRODUITS DIVERS RenameClassement1 20|1|../img/import/divers/sangles.jpg|NON
SANGLES5M|Sangle en polypropylène|Sangle d'arrimage en matière synthétique (polypropylène), avec tendeur à serrage en tôle galvanisée. Largeur 2,5 cm, longueur 5 m.|PRODUITS DIVERS RenameClassement1 20|1||NON
BACHE3X2M|Bâche de protection|Bâche de protection, légère, 100% imperméables, imputrescibles, résistantes à la déchirure. Oeillets tous les mètres, convient pour bâcher les remorques de voitures.|PRODUITS DIVERS RenameClassement1 20|1||OUI
BACHEFILET3.5X1.8|Bâche - Filet pour remorque|Filet pour remorque. Maintient le fret sur la remorque. PE stabilisé aux UV, maille 45 mm. Avec corde élastique de 6 mm de diamètre tout autour. Manipulation facile. Sac de rangement.|PRODUITS DIVERS RenameClassement1 20|1||NON
SACDECHETSVERTS30|Sacs à déchets|Sac réutilisable en polyproppylène tressé muni de 2 anses pratiques.<br>|PRODUITS DIVERS RenameClassement1 20|1|../img/import/divers/sacdechetsverts.jpg|NON
CLEANSTONE1L|Cleanstone Pro - nettoyant pavage sans chlore ni acide|Nettoyant professionnel puissant pour toitures, pavages, terrains de tennis, klinkers, pierres bleues, ... Produit garanti sans chlore ni acide. Peut être utilisé contre la mousse, les lichens, ... et ce à proximité des plantations.  Le Cleanstone Pro respecte l'environnement car il est 100% biodégradable. <br> <br><a target='frmPDF' href='/documents/cleanstone_pro.pdf'>Description détaillée (format pdf)</a>|PRODUITS DIVERS RenameClassement1 20|1|../img/import/divers/cleanstone.jpg|NON
THERMOFLAMM|Elimination thermique des mauvaises herbes|Thermoflamm est un système d'élimination thermique des mauvaises herbes avec allumage piëzo.  Le système est composé d'une lance et d'une cartouche de gaz.  Pièces de rechange : cartouche de gaz, valve et allumeur piezo.|PRODUITS DIVERS RenameClassement1 20|1|../img/import/divers/thermoflamm.jpg|NON
BOMBECRAIEROSE|Bombe de marquage|Bombe de marquage,3 couleurs disponibles : rose fluo, jaune fluo et orange fluo.  Pour un marquage direct, fin et précis.<br><br>Bombe de marquage à la craie : pour le marquage de courte durée.|PRODUITS DIVERS RenameClassement1 20|1|../img/import/divers/marquage.jpg|NON
HUILE2T|Huiles|Huile moteur universelle sans fumée, avec agents nettoyants et anticorrosion.|PRODUITS DIVERS RenameClassement1 20|1||NON
RAPIDON6|Bidon d'essence   - Birchmeier|Bidon de 6 litres, blanc, pour faire le plein en un tour de main.<br><br>Pour remplir les appareils motorisés comme tondeuses, pulvérisateurs à moteur, ...|PRODUITS DIVERS RenameClassement1 20|1||NON
BOUGIE|Bougie de jardin|Bougie brulot de jardin dans une vasque en terre cuite.  Brûle +- 13 heures.|PRODUITS DIVERS RenameClassement1 20|1|../img/import/divers/bougie.jpg|NON
SELDENEIGEMENT|Sel  de déneigement|Pour déneiger vos allées.|PRODUITS DIVERS RenameClassement1 20|1|../img/import/divers/seldeneigement.jpg|NON
RAKABOOTS2PAIRES|Rakaboots|Porte bottes en hêtre vernis.  Pour des bottes toujours bien rangées, droites, intérieur ventilé et propre.  Pour toutes pointures.  Fixation murale pour gagner de la place.  Existe pour 2 ou 3 paires de bottes.|PRODUITS DIVERS RenameClassement1 20|1||NON
TIREBOTTE|Tire botte||PRODUITS DIVERS RenameClassement1 20|1||NON
FENABREUVOIR|Matériel d'élevage|Pompe de prairie et abreuvoir.|PRODUITS DIVERS RenameClassement1 20|1|../img/import/fenwir/abreuvoirsuevia.jpg;../img/import/fenwir/pompeeider.jpg|OUI
